seq_len,n,k_correct,accuracy,ci_low,ci_high
1,53,45,0.8490566037735849,0.7294549545634046,0.9214767574221834
2,63,55,0.873015873015873,0.7689273848938224,0.9342275365921983
3,145,135,0.9310344827586207,0.8777075189555319,0.9621114563846955
4,1227,1129,0.9201303993480032,0.9036174231573297,0.9340208237137542
5,2226,1968,0.8840970350404312,0.8701321648427168,0.896738450540905
6,1369,1175,0.8582907231555881,0.8388123520942997,0.8757638961778972
7,1137,940,0.8267370272647317,0.8036468426676752,0.8476267434287647
8,875,663,0.7577142857142857,0.728237274847095,0.7849382507538779
9,628,481,0.7659235668789809,0.7312512563608187,0.7973622442380655
10,449,339,0.755011135857461,0.7131762194574714,0.7925193703469989
11,397,269,0.6775818639798489,0.6300910185845179,0.721668878591823
12,286,186,0.6503496503496503,0.5934215235183344,0.703292267738683
13,224,143,0.6383928571428571,0.573627671536487,0.698491204033207
14,150,91,0.6066666666666667,0.5267647239233271,0.6812414330589196
15,108,61,0.5648148148148148,0.4706765816044607,0.6545004544894435
16,80,48,0.6,0.4904526454814999,0.700383407265585
17,70,37,0.5285714285714286,0.4132168390581603,0.6409531680922806
18,44,26,0.5909090909090909,0.44409492646606574,0.7231235612099317
19,40,20,0.5,0.3519927879709976,0.6480072120290024
20,31,16,0.5161290322580645,0.34840118286973176,0.6803001396872117
21,25,16,0.64,0.44518154601046633,0.7975234356826436
22,12,8,0.6666666666666666,0.3906175873976138,0.8618821601026385
23,16,10,0.625,0.3864064709793481,0.815190174452472
24,13,5,0.38461538461538464,0.17709446581236815,0.6447751902773147
25,9,3,0.3333333333333333,0.12058159868274287,0.6458026525009103
26,6,3,0.5,0.18761280689940874,0.8123871931005913
27,3,1,0.3333333333333333,0.061490315276160556,0.792345044873512
28,4,3,0.75,0.3006360524426366,0.9544139373553637
29,1,0,0.0,0.0,0.7934567085261071
30,2,1,0.5,0.09452865480086614,0.9054713451991339
31,5,3,0.6,0.23071993220883708,0.8823817688407467
32,2,2,1.0,0.34237195288961925,1.0
33,2,2,1.0,0.34237195288961925,1.0
34,3,2,0.6666666666666666,0.20765495512648796,0.9385096847238394
35,2,1,0.5,0.09452865480086614,0.9054713451991339
37,1,0,0.0,0.0,0.7934567085261071
38,2,1,0.5,0.09452865480086614,0.9054713451991339
40,1,0,0.0,0.0,0.7934567085261071
