_bin,n,k_correct,bin_left,bin_right,bin_center,accuracy,ci_low,ci_high
0,47,40,0.0,10.0,5.0,0.851063829787234,0.7231410342888723,0.925933739125025
1,79,72,10.0,20.0,15.0,0.9113924050632911,0.828214686221526,0.9564152581542464
2,207,189,20.0,30.0,25.0,0.9130434782608695,0.8667460484314536,0.9442893449633981
3,380,345,30.0,40.0,35.0,0.9078947368421053,0.8745963502110478,0.9330284616905286
4,686,641,40.0,50.0,45.0,0.934402332361516,0.9133501799564044,0.9506162726321318
5,1156,1069,50.0,60.0,55.0,0.9247404844290658,0.9080859881079639,0.9385813499147455
6,1431,1315,60.0,70.0,65.0,0.9189378057302585,0.9036493526850051,0.9319829568326448
7,1695,1551,70.0,80.0,75.0,0.9150442477876106,0.9008139471703,0.9273974646529094
8,1657,1503,80.0,90.0,85.0,0.9070609535304768,0.8921237137543814,0.9201150933660567
9,1662,1483,90.0,100.0,95.0,0.8922984356197352,0.8764793571916313,0.9063081539378782
10,1367,1213,100.0,110.0,105.0,0.8873445501097293,0.8694866346119504,0.9030315031510122
11,1241,1076,110.0,120.0,115.0,0.8670427074939565,0.8470145654847047,0.8848054508129511
12,1051,902,120.0,130.0,125.0,0.8582302568981922,0.8358350421900236,0.8780162128230513
13,896,737,130.0,140.0,135.0,0.8225446428571429,0.7961666543267756,0.8461686189035353
14,792,632,140.0,150.0,145.0,0.797979797979798,0.7686087382487731,0.824474106377595
15,667,528,150.0,160.0,155.0,0.7916041979010495,0.7591531802783152,0.8207154504088693
16,572,445,160.0,170.0,165.0,0.777972027972028,0.742120844925649,0.8101143530871379
17,471,348,170.0,180.0,175.0,0.7388535031847133,0.6973642544866304,0.7764779699520034
18,425,331,180.0,190.0,185.0,0.7788235294117647,0.736964203448954,0.8156874049770942
19,362,242,190.0,200.0,195.0,0.6685082872928176,0.6184672798365288,0.7150103782537484
20,321,230,200.0,210.0,205.0,0.7165109034267912,0.6648718858785082,0.7630289741098676
21,243,183,210.0,220.0,215.0,0.7530864197530864,0.6952086430885903,0.8030866199464896
22,210,144,220.0,230.0,225.0,0.6857142857142857,0.6200666140902598,0.7446893548138263
23,222,140,230.0,240.0,235.0,0.6306306306306306,0.5654228062355482,0.6913943611950757
24,171,126,240.0,250.0,245.0,0.7368421052631579,0.6661587969740224,0.7971176772746689
25,163,101,250.0,260.0,255.0,0.6196319018404908,0.5431588704905546,0.6905957806276317
26,116,87,260.0,270.0,265.0,0.75,0.6640460052056096,0.8199261714008441
27,110,76,270.0,280.0,275.0,0.6909090909090909,0.5993322306151246,0.769601445650845
28,96,66,280.0,290.0,285.0,0.6875,0.5890793244654506,0.7714918202277434
29,97,63,290.0,300.0,295.0,0.6494845360824743,0.5504892147387033,0.7370905142620265
30,75,38,300.0,310.0,305.0,0.5066666666666667,0.39598184412213266,0.6167018152658047
31,76,43,310.0,320.0,315.0,0.5657894736842105,0.4538555158542199,0.671392475168004
